wave,trans
9083.000000,0.000000
9084.000000,0.000000
9085.000000,0.000351
9086.000000,0.000703
9087.000000,0.001425
9088.000000,0.002147
9089.000000,0.002869
9090.000000,0.003591
9091.000000,0.004297
9092.000000,0.005004
9093.000000,0.005733
9094.000000,0.006463
9095.000000,0.007194
9096.000000,0.007922
9097.000000,0.008632
9098.000000,0.009342
9099.000000,0.010073
9100.000000,0.010804
9101.000000,0.011509
9102.000000,0.012210
9103.000000,0.012889
9104.000000,0.013565
9105.000000,0.014258
9106.000000,0.015016
9107.000000,0.015777
9108.000000,0.016541
9109.000000,0.017290
9110.000000,0.018042
9111.000000,0.018787
9112.000000,0.019534
9113.000000,0.020282
9114.000000,0.021032
9115.000000,0.021763
9116.000000,0.022411
9117.000000,0.023075
9118.000000,0.023735
9119.000000,0.024371
9120.000000,0.025003
9121.000000,0.025788
9122.000000,0.026576
9123.000000,0.027368
9124.000000,0.028163
9125.000000,0.028941
9126.000000,0.029477
9127.000000,0.030023
9128.000000,0.030561
9129.000000,0.031091
9130.000000,0.031612
9131.000000,0.032089
9132.000000,0.032556
9133.000000,0.033034
9134.000000,0.033502
9135.000000,0.034313
9136.000000,0.035537
9137.000000,0.037128
9138.000000,0.038734
9139.000000,0.040335
9140.000000,0.041951
9141.000000,0.043698
9142.000000,0.045466
9143.000000,0.047255
9144.000000,0.049065
9145.000000,0.050875
9146.000000,0.052193
9147.000000,0.053523
9148.000000,0.054844
9149.000000,0.056158
9150.000000,0.057464
9151.000000,0.058257
9152.000000,0.059017
9153.000000,0.059726
9154.000000,0.060404
9155.000000,0.061067
9156.000000,0.062613
9157.000000,0.064166
9158.000000,0.065727
9159.000000,0.067294
9160.000000,0.068868
9161.000000,0.071018
9162.000000,0.073197
9163.000000,0.075425
9164.000000,0.077683
9165.000000,0.079971
9166.000000,0.081460
9167.000000,0.082951
9168.000000,0.084442
9169.000000,0.085914
9170.000000,0.087386
9171.000000,0.088186
9172.000000,0.088965
9173.000000,0.089721
9174.000000,0.090456
9175.000000,0.091169
9176.000000,0.092275
9177.000000,0.093352
9178.000000,0.094420
9179.000000,0.095497
9180.000000,0.096565
9181.000000,0.098507
9182.000000,0.100463
9183.000000,0.102415
9184.000000,0.104382
9185.000000,0.106383
9186.000000,0.108423
9187.000000,0.110478
9188.000000,0.112548
9189.000000,0.114634
9190.000000,0.116735
9191.000000,0.118382
9192.000000,0.120034
9193.000000,0.121710
9194.000000,0.123391
9195.000000,0.125077
9196.000000,0.126552
9197.000000,0.128027
9198.000000,0.129501
9199.000000,0.130955
9200.000000,0.132408
9201.000000,0.134215
9202.000000,0.136028
9203.000000,0.137847
9204.000000,0.139672
9205.000000,0.141504
9206.000000,0.142894
9207.000000,0.144262
9208.000000,0.145628
9209.000000,0.147011
9210.000000,0.148391
9211.000000,0.149428
9212.000000,0.150455
9213.000000,0.151474
9214.000000,0.152485
9215.000000,0.153467
9216.000000,0.154801
9217.000000,0.156153
9218.000000,0.157503
9219.000000,0.158850
9220.000000,0.160195
9221.000000,0.161923
9222.000000,0.163655
9223.000000,0.165412
9224.000000,0.167173
9225.000000,0.168938
9226.000000,0.170280
9227.000000,0.171619
9228.000000,0.172956
9229.000000,0.174271
9230.000000,0.175583
9231.000000,0.176804
9232.000000,0.178021
9233.000000,0.179234
9234.000000,0.180443
9235.000000,0.181648
9236.000000,0.182773
9237.000000,0.183874
9238.000000,0.184970
9239.000000,0.186080
9240.000000,0.187185
9241.000000,0.188344
9242.000000,0.189499
9243.000000,0.190648
9244.000000,0.191791
9245.000000,0.192910
9246.000000,0.194189
9247.000000,0.195484
9248.000000,0.196774
9249.000000,0.198061
9250.000000,0.199344
9251.000000,0.200865
9252.000000,0.202385
9253.000000,0.203923
9254.000000,0.205461
9255.000000,0.206998
9256.000000,0.208446
9257.000000,0.209892
9258.000000,0.211337
9259.000000,0.212762
9260.000000,0.214185
9261.000000,0.215618
9262.000000,0.217050
9263.000000,0.218483
9264.000000,0.219915
9265.000000,0.221347
9266.000000,0.222921
9267.000000,0.224477
9268.000000,0.226034
9269.000000,0.227612
9270.000000,0.229192
9271.000000,0.229251
9272.000000,0.229295
9273.000000,0.229324
9274.000000,0.229338
9275.000000,0.229318
9276.000000,0.228787
9277.000000,0.228255
9278.000000,0.227702
9279.000000,0.227130
9280.000000,0.226537
9281.000000,0.227419
9282.000000,0.228297
9283.000000,0.229152
9284.000000,0.230003
9285.000000,0.230866
9286.000000,0.231465
9287.000000,0.232057
9288.000000,0.232642
9289.000000,0.233202
9290.000000,0.233754
9291.000000,0.233807
9292.000000,0.233846
9293.000000,0.233872
9294.000000,0.233883
9295.000000,0.233880
9296.000000,0.232877
9297.000000,0.231834
9298.000000,0.230768
9299.000000,0.229695
9300.000000,0.228598
9301.000000,0.227760
9302.000000,0.226900
9303.000000,0.226018
9304.000000,0.225115
9305.000000,0.224175
9306.000000,0.223271
9307.000000,0.222363
9308.000000,0.221433
9309.000000,0.220484
9310.000000,0.219516
9311.000000,0.218228
9312.000000,0.216921
9313.000000,0.215580
9314.000000,0.214220
9315.000000,0.212855
9316.000000,0.209504
9317.000000,0.206117
9318.000000,0.202697
9319.000000,0.199243
9320.000000,0.195754
9321.000000,0.194931
9322.000000,0.194094
9323.000000,0.193256
9324.000000,0.192405
9325.000000,0.191540
9326.000000,0.192646
9327.000000,0.193741
9328.000000,0.194838
9329.000000,0.195949
9330.000000,0.197060
9331.000000,0.196556
9332.000000,0.196042
9333.000000,0.195518
9334.000000,0.194984
9335.000000,0.194427
9336.000000,0.190518
9337.000000,0.186587
9338.000000,0.182623
9339.000000,0.178627
9340.000000,0.174598
9341.000000,0.173480
9342.000000,0.172350
9343.000000,0.171198
9344.000000,0.170034
9345.000000,0.168869
9346.000000,0.174866
9347.000000,0.180899
9348.000000,0.186967
9349.000000,0.193070
9350.000000,0.199208
9351.000000,0.201617
9352.000000,0.204039
9353.000000,0.206178
9354.000000,0.208325
9355.000000,0.210364
9356.000000,0.208995
9357.000000,0.207620
9358.000000,0.206241
9359.000000,0.204857
9360.000000,0.203468
9361.000000,0.204463
9362.000000,0.205460
9363.000000,0.206458
9364.000000,0.207457
9365.000000,0.208457
9366.000000,0.207588
9367.000000,0.206716
9368.000000,0.205841
9369.000000,0.204963
9370.000000,0.204082
9371.000000,0.206465
9372.000000,0.208853
9373.000000,0.211245
9374.000000,0.213640
9375.000000,0.216040
9376.000000,0.217113
9377.000000,0.218085
9378.000000,0.219056
9379.000000,0.219694
9380.000000,0.220330
9381.000000,0.221167
9382.000000,0.222004
9383.000000,0.222839
9384.000000,0.223674
9385.000000,0.224507
9386.000000,0.230422
9387.000000,0.236328
9388.000000,0.242225
9389.000000,0.248114
9390.000000,0.253996
9391.000000,0.260041
9392.000000,0.266075
9393.000000,0.272100
9394.000000,0.278116
9395.000000,0.284124
9396.000000,0.282943
9397.000000,0.281770
9398.000000,0.280605
9399.000000,0.279448
9400.000000,0.278300
9401.000000,0.274762
9402.000000,0.271234
9403.000000,0.267716
9404.000000,0.264207
9405.000000,0.260707
9406.000000,0.260369
9407.000000,0.260035
9408.000000,0.259705
9409.000000,0.259378
9410.000000,0.259054
9411.000000,0.260797
9412.000000,0.262537
9413.000000,0.264276
9414.000000,0.266010
9415.000000,0.267740
9416.000000,0.267147
9417.000000,0.266554
9418.000000,0.265961
9419.000000,0.265370
9420.000000,0.264779
9421.000000,0.259557
9422.000000,0.254342
9423.000000,0.249135
9424.000000,0.243936
9425.000000,0.238745
9426.000000,0.234847
9427.000000,0.230955
9428.000000,0.227069
9429.000000,0.223188
9430.000000,0.219313
9431.000000,0.222148
9432.000000,0.224981
9433.000000,0.227813
9434.000000,0.230642
9435.000000,0.233470
9436.000000,0.230972
9437.000000,0.228474
9438.000000,0.225977
9439.000000,0.223481
9440.000000,0.220987
9441.000000,0.218704
9442.000000,0.216424
9443.000000,0.214148
9444.000000,0.211877
9445.000000,0.209609
9446.000000,0.214989
9447.000000,0.220365
9448.000000,0.225738
9449.000000,0.231107
9450.000000,0.236474
9451.000000,0.237298
9452.000000,0.238125
9453.000000,0.238953
9454.000000,0.239784
9455.000000,0.240616
9456.000000,0.237379
9457.000000,0.234148
9458.000000,0.230920
9459.000000,0.227696
9460.000000,0.224476
9461.000000,0.225583
9462.000000,0.226690
9463.000000,0.227796
9464.000000,0.228900
9465.000000,0.230001
9466.000000,0.233026
9467.000000,0.236049
9468.000000,0.239069
9469.000000,0.242086
9470.000000,0.245100
9471.000000,0.244532
9472.000000,0.243966
9473.000000,0.243400
9474.000000,0.242834
9475.000000,0.242269
9476.000000,0.237940
9477.000000,0.233616
9478.000000,0.229297
9479.000000,0.224984
9480.000000,0.220677
9481.000000,0.222387
9482.000000,0.224096
9483.000000,0.225803
9484.000000,0.227509
9485.000000,0.229214
9486.000000,0.235192
9487.000000,0.241167
9488.000000,0.247137
9489.000000,0.253105
9490.000000,0.259068
9491.000000,0.255770
9492.000000,0.252474
9493.000000,0.249180
9494.000000,0.245887
9495.000000,0.242597
9496.000000,0.237932
9497.000000,0.233269
9498.000000,0.228609
9499.000000,0.223951
9500.000000,0.219295
9501.000000,0.222526
9502.000000,0.225753
9503.000000,0.228975
9504.000000,0.232194
9505.000000,0.235408
9506.000000,0.241228
9507.000000,0.247042
9508.000000,0.252848
9509.000000,0.258648
9510.000000,0.264441
9511.000000,0.263431
9512.000000,0.262421
9513.000000,0.261412
9514.000000,0.260405
9515.000000,0.259398
9516.000000,0.252878
9517.000000,0.246365
9518.000000,0.239860
9519.000000,0.233363
9520.000000,0.226874
9521.000000,0.225110
9522.000000,0.223348
9523.000000,0.221588
9524.000000,0.219831
9525.000000,0.218075
9526.000000,0.221415
9527.000000,0.224750
9528.000000,0.228081
9529.000000,0.231407
9530.000000,0.234729
9531.000000,0.236765
9532.000000,0.238799
9533.000000,0.240829
