wave,trans
6759.000000,0.000000
6760.000000,0.000000
6761.000000,0.000897
6762.000000,0.001795
6763.000000,0.002693
6764.000000,0.003590
6765.000000,0.004464
6766.000000,0.005337
6767.000000,0.006233
6768.000000,0.007129
6769.000000,0.008025
6770.000000,0.008920
6771.000000,0.009816
6772.000000,0.010712
6773.000000,0.011585
6774.000000,0.012457
6775.000000,0.013353
6776.000000,0.014252
6777.000000,0.015151
6778.000000,0.016050
6779.000000,0.016950
6780.000000,0.017850
6781.000000,0.018722
6782.000000,0.019595
6783.000000,0.020491
6784.000000,0.021387
6785.000000,0.022283
6786.000000,0.023179
6787.000000,0.024075
6788.000000,0.024971
6789.000000,0.025843
6790.000000,0.026715
6791.000000,0.027607
6792.000000,0.028498
6793.000000,0.029390
6794.000000,0.030281
6795.000000,0.031171
6796.000000,0.032061
6797.000000,0.032928
6798.000000,0.033794
6799.000000,0.034683
6800.000000,0.035572
6801.000000,0.036470
6802.000000,0.037369
6803.000000,0.038267
6804.000000,0.039166
6805.000000,0.040041
6806.000000,0.040908
6807.000000,0.041798
6808.000000,0.042688
6809.000000,0.043578
6810.000000,0.044467
6811.000000,0.046248
6812.000000,0.048028
6813.000000,0.049784
6814.000000,0.051539
6815.000000,0.053317
6816.000000,0.055095
6817.000000,0.056848
6818.000000,0.058600
6819.000000,0.060375
6820.000000,0.062150
6821.000000,0.063905
6822.000000,0.065660
6823.000000,0.067437
6824.000000,0.069214
6825.000000,0.070968
6826.000000,0.072736
6827.000000,0.074528
6828.000000,0.076320
6829.000000,0.078089
6830.000000,0.079858
6831.000000,0.081633
6832.000000,0.083408
6833.000000,0.085159
6834.000000,0.086910
6835.000000,0.088683
6836.000000,0.090456
6837.000000,0.092205
6838.000000,0.093954
6839.000000,0.095726
6840.000000,0.097497
6841.000000,0.099236
6842.000000,0.100973
6843.000000,0.102734
6844.000000,0.104493
6845.000000,0.106228
6846.000000,0.107962
6847.000000,0.109718
6848.000000,0.111473
6849.000000,0.113204
6850.000000,0.114934
6851.000000,0.116699
6852.000000,0.118463
6853.000000,0.120203
6854.000000,0.121942
6855.000000,0.123704
6856.000000,0.125334
6857.000000,0.126936
6858.000000,0.128533
6859.000000,0.130150
6860.000000,0.131762
6861.000000,0.132222
6862.000000,0.132647
6863.000000,0.133016
6864.000000,0.133351
6865.000000,0.133674
6866.000000,0.131922
6867.000000,0.130065
6868.000000,0.128124
6869.000000,0.126120
6870.000000,0.124031
6871.000000,0.123748
6872.000000,0.123425
6873.000000,0.123082
6874.000000,0.122698
6875.000000,0.122256
6876.000000,0.125681
6877.000000,0.129169
6878.000000,0.132702
6879.000000,0.136262
6880.000000,0.139867
6881.000000,0.143149
6882.000000,0.146469
6883.000000,0.149806
6884.000000,0.153180
6885.000000,0.156612
6886.000000,0.157653
6887.000000,0.158663
6888.000000,0.159662
6889.000000,0.160670
6890.000000,0.161669
6891.000000,0.163180
6892.000000,0.164691
6893.000000,0.166223
6894.000000,0.167754
6895.000000,0.169265
6896.000000,0.171556
6897.000000,0.173881
6898.000000,0.176220
6899.000000,0.178552
6900.000000,0.180899
6901.000000,0.183142
6902.000000,0.185396
6903.000000,0.187642
6904.000000,0.189899
6905.000000,0.192189
6906.000000,0.194580
6907.000000,0.196963
6908.000000,0.199359
6909.000000,0.201789
6910.000000,0.204233
6911.000000,0.206468
6912.000000,0.208712
6913.000000,0.210944
6914.000000,0.213185
6915.000000,0.215457
6916.000000,0.217689
6917.000000,0.219908
6918.000000,0.222136
6919.000000,0.224394
6920.000000,0.226661
6921.000000,0.228840
6922.000000,0.231027
6923.000000,0.233243
6924.000000,0.235466
6925.000000,0.237675
6926.000000,0.239787
6927.000000,0.241927
6928.000000,0.244073
6929.000000,0.246203
6930.000000,0.248338
6931.000000,0.250216
6932.000000,0.252097
6933.000000,0.253957
6934.000000,0.255819
6935.000000,0.257706
6936.000000,0.259428
6937.000000,0.261128
6938.000000,0.262828
6939.000000,0.264550
6940.000000,0.266272
6941.000000,0.268041
6942.000000,0.269810
6943.000000,0.271603
6944.000000,0.273397
6945.000000,0.275169
6946.000000,0.277119
6947.000000,0.279095
6948.000000,0.281075
6949.000000,0.283034
6950.000000,0.284996
6951.000000,0.286843
6952.000000,0.288690
6953.000000,0.290516
6954.000000,0.292344
6955.000000,0.294195
6956.000000,0.295922
6957.000000,0.297626
6958.000000,0.299330
6959.000000,0.301056
6960.000000,0.302782
6961.000000,0.304874
6962.000000,0.306970
6963.000000,0.309046
6964.000000,0.311127
6965.000000,0.313234
6966.000000,0.315411
6967.000000,0.317571
6968.000000,0.319734
6969.000000,0.321926
6970.000000,0.324122
6971.000000,0.325918
6972.000000,0.327715
6973.000000,0.329535
6974.000000,0.331356
6975.000000,0.333155
6976.000000,0.334814
6977.000000,0.336495
6978.000000,0.338175
6979.000000,0.339831
6980.000000,0.341487
6981.000000,0.343034
6982.000000,0.344580
6983.000000,0.346100
6984.000000,0.347618
6985.000000,0.349156
6986.000000,0.350545
6987.000000,0.351908
6988.000000,0.353266
6989.000000,0.354644
6990.000000,0.356018
6991.000000,0.357719
6992.000000,0.359420
6993.000000,0.361144
6994.000000,0.362867
6995.000000,0.364567
6996.000000,0.366422
6997.000000,0.368301
6998.000000,0.370181
6999.000000,0.372039
7000.000000,0.373899
7001.000000,0.375678
7002.000000,0.377458
7003.000000,0.379214
7004.000000,0.380971
7005.000000,0.382751
7006.000000,0.384532
7007.000000,0.386289
7008.000000,0.388047
7009.000000,0.389828
7010.000000,0.391610
7011.000000,0.393337
7012.000000,0.395063
7013.000000,0.396766
7014.000000,0.398469
7015.000000,0.400194
7016.000000,0.402005
7017.000000,0.403585
7018.000000,0.405166
7019.000000,0.406078
7020.000000,0.406991
7021.000000,0.407859
7022.000000,0.408726
7023.000000,0.409593
7024.000000,0.410461
7025.000000,0.411328
7026.000000,0.412369
7027.000000,0.413388
7028.000000,0.414407
7029.000000,0.415450
7030.000000,0.416494
7031.000000,0.417761
7032.000000,0.419030
7033.000000,0.420300
7034.000000,0.421572
7035.000000,0.422823
7036.000000,0.423720
7037.000000,0.424641
7038.000000,0.425562
7039.000000,0.426483
7040.000000,0.427404
7041.000000,0.428257
7042.000000,0.429109
7043.000000,0.429961
7044.000000,0.430812
7045.000000,0.431641
7046.000000,0.432469
7047.000000,0.433321
7048.000000,0.434172
7049.000000,0.435023
7050.000000,0.435874
7051.000000,0.436790
7052.000000,0.437707
7053.000000,0.437950
7054.000000,0.438193
7055.000000,0.438227
7056.000000,0.438354
7057.000000,0.438480
7058.000000,0.438606
7059.000000,0.438732
7060.000000,0.438858
7061.000000,0.438926
7062.000000,0.438993
7063.000000,0.439060
7064.000000,0.439127
7065.000000,0.439194
7066.000000,0.439261
7067.000000,0.439329
7068.000000,0.439396
7069.000000,0.439463
7070.000000,0.439530
7071.000000,0.439553
7072.000000,0.439577
7073.000000,0.439600
7074.000000,0.439624
7075.000000,0.439647
7076.000000,0.439670
7077.000000,0.439694
7078.000000,0.439717
7079.000000,0.439741
7080.000000,0.439764
7081.000000,0.439844
7082.000000,0.439924
7083.000000,0.440004
7084.000000,0.440084
7085.000000,0.440164
7086.000000,0.440244
7087.000000,0.440324
7088.000000,0.440403
7089.000000,0.440483
7090.000000,0.440563
7091.000000,0.440604
7092.000000,0.440645
7093.000000,0.440686
7094.000000,0.440727
7095.000000,0.440768
7096.000000,0.440809
7097.000000,0.440850
7098.000000,0.440891
7099.000000,0.440932
7100.000000,0.440972
7101.000000,0.440999
7102.000000,0.441026
7103.000000,0.441053
7104.000000,0.441080
7105.000000,0.441106
7106.000000,0.441133
7107.000000,0.441160
7108.000000,0.441187
7109.000000,0.441213
7110.000000,0.441240
7111.000000,0.441345
7112.000000,0.441449
7113.000000,0.441553
7114.000000,0.441658
7115.000000,0.441762
7116.000000,0.441867
7117.000000,0.441971
7118.000000,0.442076
7119.000000,0.442180
7120.000000,0.442284
7121.000000,0.442195
7122.000000,0.442106
7123.000000,0.442016
7124.000000,0.441927
7125.000000,0.441837
7126.000000,0.441840
7127.000000,0.441843
