wave,trans
5640.0,0.0
5650.0,0.0
5660.0,0.0
5670.0,0.0
5680.0,0.00010376
5690.0,0.00013632
5700.0,0.00018166
5710.0,0.00024546
5720.0,0.00033674
5730.0,0.00046958
5740.0,0.00066615
5750.0,0.00096281
5760.0,0.0014197
5770.0,0.0021394
5780.0,0.0033016
5790.0,0.005229
5800.0,0.0085175
5810.0,0.014294
5820.0,0.024716
5830.0,0.043845
5840.0,0.078669
5850.0,0.13808
5860.0,0.22389
5870.0,0.31647
5880.0,0.38681
5890.0,0.42959
5900.0,0.45957
5910.0,0.4907
5920.0,0.52992
5930.0,0.57909
5940.0,0.63664
5950.0,0.69842
5960.0,0.75855
5970.0,0.81102
5980.0,0.85157
5990.0,0.87899
6000.0,0.89486
6010.0,0.90246
6020.0,0.9051
6030.0,0.90551
6040.0,0.90547
6050.0,0.90588
6060.0,0.90698
6070.0,0.90863
6080.0,0.91051
6090.0,0.91228
6100.0,0.9137
6110.0,0.91465
6120.0,0.91518
6130.0,0.91541
6140.0,0.91546
6150.0,0.91551
6160.0,0.91569
6170.0,0.91608
6180.0,0.91673
6190.0,0.91761
6200.0,0.91867
6210.0,0.91984
6220.0,0.921
6230.0,0.92208
6240.0,0.923
6250.0,0.92372
6260.0,0.92423
6270.0,0.92455
6280.0,0.92473
6290.0,0.92482
6300.0,0.92489
6310.0,0.92501
6320.0,0.92522
6330.0,0.92557
6340.0,0.92608
6350.0,0.92673
6360.0,0.92752
6370.0,0.92841
6380.0,0.92936
6390.0,0.93031
6400.0,0.93123
6410.0,0.93207
6420.0,0.93281
6430.0,0.93344
6440.0,0.93395
6450.0,0.93435
6460.0,0.93467
6470.0,0.93494
6480.0,0.93519
6490.0,0.93546
6500.0,0.93578
6510.0,0.93601
6520.0,0.93633
6530.0,0.93674
6540.0,0.93725
6550.0,0.93785
6560.0,0.9385
6570.0,0.9392
6580.0,0.93991
6590.0,0.9406
6600.0,0.94125
6610.0,0.94184
6620.0,0.94235
6630.0,0.94277
6640.0,0.94311
6650.0,0.94338
6660.0,0.94358
6670.0,0.94375
6680.0,0.94389
6690.0,0.94404
6700.0,0.94421
6710.0,0.94443
6720.0,0.94471
6730.0,0.94507
6740.0,0.94551
6750.0,0.94603
6760.0,0.94662
6770.0,0.94726
6780.0,0.94795
6790.0,0.94865
6800.0,0.94935
6810.0,0.95002
6820.0,0.95064
6830.0,0.9512
6840.0,0.95168
6850.0,0.95207
6860.0,0.95238
6870.0,0.95259
6880.0,0.95273
6890.0,0.9528
6900.0,0.95282
6910.0,0.95281
6920.0,0.95279
6930.0,0.95279
6940.0,0.95282
6950.0,0.95291
6960.0,0.95306
6970.0,0.95329
6980.0,0.95361
6990.0,0.95402
7000.0,0.9545
7010.0,0.95473
7020.0,0.95502
7030.0,0.95535
7040.0,0.95571
7050.0,0.95608
7060.0,0.95644
7070.0,0.95678
7080.0,0.95707
7090.0,0.95732
7100.0,0.95749
7110.0,0.9576
7120.0,0.95763
7130.0,0.95758
7140.0,0.95745
7150.0,0.95726
7160.0,0.95701
7170.0,0.95672
7180.0,0.9564
7190.0,0.95606
7200.0,0.95572
7210.0,0.9561
7220.0,0.95651
7230.0,0.95696
7240.0,0.95746
7250.0,0.95802
7260.0,0.95865
7270.0,0.95935
7280.0,0.96012
7290.0,0.96095
7300.0,0.96185
7310.0,0.9628
7320.0,0.96379
7330.0,0.96481
7340.0,0.96585
7350.0,0.96689
7360.0,0.96793
7370.0,0.96895
7380.0,0.96994
7390.0,0.9709
7400.0,0.9718
7410.0,0.97241
7420.0,0.97297
7430.0,0.97347
7440.0,0.97391
7450.0,0.97431
7460.0,0.97467
7470.0,0.975
7480.0,0.9753
7490.0,0.97558
7500.0,0.97585
7510.0,0.97613
7520.0,0.97643
7530.0,0.97674
7540.0,0.97709
7550.0,0.97747
7560.0,0.9779
7570.0,0.97837
7580.0,0.97888
7590.0,0.97944
7600.0,0.98004
7610.0,0.98074
7620.0,0.98146
7630.0,0.98221
7640.0,0.98299
7650.0,0.98377
7660.0,0.98455
7670.0,0.98533
7680.0,0.98609
7690.0,0.98683
7700.0,0.98754
7710.0,0.98821
7720.0,0.98884
7730.0,0.98942
7740.0,0.98995
7750.0,0.99044
7760.0,0.99088
7770.0,0.99128
7780.0,0.99164
7790.0,0.99196
7800.0,0.99226
7810.0,0.99188
7820.0,0.99149
7830.0,0.99109
7840.0,0.9907
7850.0,0.99032
7860.0,0.98995
7870.0,0.98961
7880.0,0.9893
7890.0,0.98903
7900.0,0.9888
7910.0,0.9886
7920.0,0.98845
7930.0,0.98834
7940.0,0.98828
7950.0,0.98825
7960.0,0.98825
7970.0,0.98829
7980.0,0.98834
7990.0,0.98842
8000.0,0.98851
8010.0,0.989
8020.0,0.98949
8030.0,0.98997
8040.0,0.99043
8050.0,0.99088
8060.0,0.99129
8070.0,0.99168
8080.0,0.99203
8090.0,0.99234
8100.0,0.99262
8110.0,0.99285
8120.0,0.99304
8130.0,0.9932
8140.0,0.99333
8150.0,0.99342
8160.0,0.99349
8170.0,0.99354
8180.0,0.99357
8190.0,0.9936
8200.0,0.99362
8210.0,0.99345
8220.0,0.99328
8230.0,0.99314
8240.0,0.99301
8250.0,0.99291
8260.0,0.99284
8270.0,0.99281
8280.0,0.99281
8290.0,0.99285
8300.0,0.99293
8310.0,0.99305
8320.0,0.9932
8330.0,0.99339
8340.0,0.99362
8350.0,0.99387
8360.0,0.99416
8370.0,0.99446
8380.0,0.99479
8390.0,0.99513
8400.0,0.99547
8410.0,0.99592
8420.0,0.99637
8430.0,0.9968
8440.0,0.99722
8450.0,0.99762
8460.0,0.998
8470.0,0.99836
8480.0,0.99868
8490.0,0.99897
8500.0,0.99922
8510.0,0.99944
8520.0,0.99961
8530.0,0.99975
8540.0,0.99986
8550.0,0.99993
8560.0,0.99998
8570.0,1.0
8580.0,1.0
8590.0,0.99997
8600.0,0.99994
8610.0,0.99924
8620.0,0.99853
8630.0,0.99783
8640.0,0.99712
8650.0,0.99643
8660.0,0.99574
8670.0,0.99507
8680.0,0.99442
8690.0,0.99379
8700.0,0.99319
8710.0,0.99261
8720.0,0.99205
8730.0,0.99153
8740.0,0.99103
8750.0,0.99056
8760.0,0.99012
8770.0,0.9897
8780.0,0.98931
8790.0,0.98894
8800.0,0.98858
8810.0,0.98699
8820.0,0.98542
8830.0,0.98385
8840.0,0.98229
8850.0,0.98073
8860.0,0.97917
8870.0,0.9776
8880.0,0.97603
8890.0,0.97445
8900.0,0.97285
8910.0,0.97124
8920.0,0.96962
8930.0,0.96797
8940.0,0.9663
8950.0,0.96461
8960.0,0.9629
8970.0,0.96117
8980.0,0.95941
8990.0,0.95764
9000.0,0.95584
9010.0,0.95312
9020.0,0.95038
9030.0,0.94763
9040.0,0.94486
9050.0,0.94209
9060.0,0.9393
9070.0,0.93651
9080.0,0.93371
9090.0,0.93091
9100.0,0.92811
9110.0,0.92532
9120.0,0.92253
9130.0,0.91974
9140.0,0.91697
9150.0,0.91421
9160.0,0.91146
9170.0,0.90872
9180.0,0.90599
9190.0,0.90328
9200.0,0.90059
9210.0,0.8964
9220.0,0.89223
9230.0,0.88807
9240.0,0.88393
9250.0,0.8798
9260.0,0.87568
9270.0,0.87157
9280.0,0.86747
9290.0,0.86338
9300.0,0.8593
9310.0,0.85522
9320.0,0.85114
9330.0,0.84706
9340.0,0.84299
9350.0,0.83891
9360.0,0.83483
9370.0,0.83075
9380.0,0.82666
9390.0,0.82257
9400.0,0.81847
9410.0,0.81351
9420.0,0.80854
9430.0,0.80356
9440.0,0.79857
9450.0,0.79358
9460.0,0.78858
